time(s),delay(ms)
3.943563,46.59
3.943578,46.597
3.943598,45.759
3.9436370000000003,45.784
3.9436649999999998,45.804
3.943689,45.821
3.943712,45.837
3.944569,45.801
3.944584,45.801
3.944604,45.813
3.944632,45.833
3.944656,45.85
3.9456599999999997,45.912
3.945674,45.897
3.945694,45.909
3.9457240000000002,45.931
3.9457489999999997,45.949
3.946705,46.043
3.946719,46.043
3.9467399999999997,46.056
3.946768,46.077
3.946793,46.095
3.94761,46.039
3.9476370000000003,46.036
3.947669,46.06
3.947698,46.081
3.947722,46.098
3.947746,46.115
3.94856,46.093
3.948587,46.105
3.948613,46.122
3.9486329999999996,46.135
3.9486689999999998,46.164
3.949376,46.002
3.949395,46.006
3.949404,46.007
3.9494119999999997,46.008
3.94942,46.009
3.950487,46.179
3.950514,46.163
3.95054,46.18
3.950559,46.191
3.950587,46.212
3.9517480000000003,46.58
3.951773,46.58
3.951799,46.282
3.951817,46.286
3.951834,46.294
3.951851,46.304
3.9518690000000003,46.313
3.9527460000000003,46.348
3.952772,46.356
3.952801,46.377
3.95283,46.398
3.952859,46.42
3.9537370000000003,46.47
3.953763,46.479
3.953789,46.497
3.953814,46.515
3.953843,46.536
3.9546959999999998,46.553
3.954712,46.555
3.954732,46.567
3.954752,46.556
3.9547800000000004,46.57
3.955683,46.69
3.95571,46.703
3.955737,46.722
3.955761,46.739
3.95579,46.118
3.9558180000000003,46.133
3.955848,46.155
3.955871,46.171
3.955888,46.181
3.9563870000000003,45.874
3.956402,45.877
3.9564209999999997,45.888
3.957333,46.284
3.957351,46.288
3.957371,46.3
3.957394,46.316
3.9574209999999996,46.335
3.957449,45.599
3.957471,45.607
3.9575189999999996,45.648
3.957554,45.675
3.957578,45.692
3.958281,45.596
3.958308,45.61
3.958333,45.628
3.958356,45.644
3.9583850000000003,45.665
3.9584140000000003,45.687
3.95921,45.525
3.959228,45.531
3.9592530000000004,45.548
3.959272,45.56
3.959299,45.58
3.959327,45.6
3.960143,45.446
3.960171,45.46
3.961111,46.109
3.961138,46.121
3.961163,46.138
3.961181,46.148
3.9612040000000004,46.164
3.961232,46.185
3.962223,46.237
3.96225,46.25
3.962275,46.268
3.962294,46.279
3.9623180000000002,46.296
3.9623470000000003,46.318
3.962375,45.419
3.963508,46.54
3.963529,46.227
3.963551,46.22
3.963569,46.217
3.963587,46.226
3.9636039999999997,46.234
3.9636329999999997,46.255
3.9645390000000003,46.27
3.9645659999999996,46.248
3.964603,46.271
3.964632,46.293
3.964661,46.314
3.9646790000000003,46.325
3.965536,46.327
3.965563,46.336
3.9655880000000003,46.353
3.965612,46.37
3.96564,46.39
3.965668,46.411
3.9665079999999997,46.324
3.966535,46.335
3.96656,46.352
3.966583,46.367
3.966612,46.389
3.9666390000000002,46.409
3.9675979999999997,46.477
3.967643,46.505
3.9676750000000003,46.529
3.967693,46.539
3.96771,46.549
3.967728,46.56
3.96876,46.736
3.9687829999999997,46.737
3.968815,46.475
3.9688359999999996,46.474
3.968854,46.462
3.9688719999999997,46.461
3.96889,46.461
3.968907,46.469
3.96975,46.463
3.969772,46.466
3.969802,46.487
3.969821,46.499
3.969839,46.509
3.969857,46.52
3.9707280000000003,46.511
3.970759,46.527
3.970795,46.293
3.9708159999999997,46.295
3.970834,46.3
3.970852,46.282
3.970869,46.274
3.9708870000000003,46.276
3.971694,46.248
3.971728,46.268
3.971762,46.294
3.971782,46.307
3.972626,46.564
3.9726570000000003,46.577
3.97269,46.602
3.972709,46.613
3.972727,46.624
3.9727449999999997,46.635
3.9727620000000003,45.8
3.973157,46.18
3.973187,46.202
3.9732220000000003,46.23
3.9732420000000004,46.243
3.9732600000000002,46.254
3.9732779999999996,45.45
3.973296,45.448
3.973313,45.457
3.973331,45.467
3.9733490000000002,45.478
3.974103,46.224
3.9741350000000004,45.412
3.974168,45.431
3.9741869999999997,45.442
3.9742040000000003,45.451
3.974222,45.462
3.97424,45.473
3.975239,45.602
3.975269,45.594
3.975297,45.614
3.975315,45.625
3.9753339999999997,45.636
3.975352,45.647
3.976452,45.95
3.976478,45.962
3.976512,45.989
3.976545,46.015
3.976575,46.037
3.976605,46.06
3.9773609999999997,45.996
3.9773850000000004,45.996
3.9774160000000003,46.018
3.977443,46.038
3.977461,46.049
3.97748,46.06
3.978239,45.973
3.9782640000000002,45.982
3.978296,46.006
3.978316,46.019
3.978333,45.493
3.978351,45.496
3.978368,45.505
3.9783910000000002,45.521
3.978421,45.543
3.979211,46.325
3.979235,45.566
3.9792669999999997,45.553
3.979287,45.548
3.979304,45.546
3.9793220000000002,45.555
3.979339,45.565
3.9793600000000002,45.578
3.980225,45.552
3.9802489999999997,45.552
3.9802809999999997,45.574
3.9803,45.586
3.980317,45.595
3.980326,45.595
3.980344,45.601
3.981351,45.675
3.981375,45.674
3.9813870000000002,45.677
3.981408,45.69
3.981417,45.692
3.981436,45.704
3.9814450000000003,45.705
3.982738,46.081
3.982758,46.077
3.98278,46.09
3.9846329999999996,46.54
3.984658,46.53
3.984669,46.522
3.984692,46.528
3.9847020000000004,46.517
3.98472,46.517
3.9847289999999997,46.216
3.984746,46.216
3.984756,46.217
3.984775,46.229
3.985748,47.195
3.9857750000000003,47.214
3.985786,47.218
3.98581,46.318
3.9858200000000004,46.313
3.985838,46.323
3.985847,46.324
3.985865,46.335
3.985875,46.337
3.986134,46.589
3.986155,45.723
3.986176,45.728
3.986186,45.729
3.9862040000000003,45.739
3.9862130000000002,45.741
3.9862319999999998,45.753
3.986241,45.755
3.987263,45.871
3.9872840000000003,45.868
3.9873060000000002,45.881
3.987316,45.883
3.987333,45.893
3.987342,45.894
3.9873600000000002,45.905
3.988629,46.319
3.988696,46.369
3.988753,46.176
3.9888000000000003,46.203
3.988819,46.2
3.988853,46.212
3.988871,46.211
3.988901,46.233
3.988918,46.243
3.989369,45.835
3.989388,45.83
3.989409,45.842
3.98942,45.845
3.989436,45.854
3.9894450000000004,45.856
3.989464,45.867
3.990473,46.012
3.9905,46.014
3.990511,45.788
3.990535,45.788
3.990545,45.789
3.9905630000000003,45.8
3.9905720000000002,45.801
3.9905909999999998,45.813
3.9905999999999997,45.814
3.991931,46.267
3.991961,46.273
3.991996,46.299
3.992007,46.302
3.992016,46.301
3.992024,46.297
3.992041,46.301
3.9929319999999997,46.352
3.992959,46.355
3.9929699999999997,46.357
3.992994,46.373
3.993004,46.376
3.993022,46.387
