date_time,test_number,PRR_A,PRR_B
2019-09-04 19:55:01+00:00,73511,84.0,92.0
2019-09-04 17:35:01+00:00,73512,76.0,88.0
2019-09-04 02:39:01+00:00,73513,80.0,92.0
2019-09-05 10:31:01+00:00,73563,76.0,88.0
2019-09-05 03:45:01+00:00,73564,80.0,84.0
2019-09-05 22:04:01+00:00,73566,80.0,80.0
2019-09-05 03:52:01+00:00,73567,84.0,84.0
2019-09-05 22:53:01+00:00,73568,76.0,80.0
2019-09-05 01:53:01+00:00,73569,84.0,88.0
2019-09-05 00:01:01+00:00,73570,84.0,96.0
2019-09-05 04:06:01+00:00,73572,80.0,84.0
2019-09-05 21:15:01+00:00,73573,88.0,88.0
2019-09-05 12:44:01+00:00,73574,88.0,88.0
2019-09-05 18:48:01+00:00,73575,72.0,88.0
2019-09-05 01:25:01+00:00,73576,76.0,92.0
2019-09-05 07:36:01+00:00,73577,84.0,80.0
2019-09-05 03:31:01+00:00,73578,76.0,84.0
2019-09-05 12:23:01+00:00,73579,76.0,88.0
2019-09-05 08:25:01+00:00,73580,80.0,76.0
2019-09-05 01:32:01+00:00,73581,76.0,88.0
2019-09-05 21:36:01+00:00,73583,84.0,84.0
2019-09-05 11:27:01+00:00,73584,72.0,72.0
2019-09-05 05:51:01+00:00,73585,80.0,92.0
2019-09-06 15:18:01+00:00,73630,80.0,92.0
2019-09-06 11:55:01+00:00,73631,80.0,88.0
2019-09-06 00:43:01+00:00,73632,76.0,88.0
2019-09-06 14:36:01+00:00,73633,84.0,84.0
2019-09-06 22:18:01+00:00,73634,84.0,88.0
2019-09-06 00:36:01+00:00,73635,88.0,84.0
2019-09-06 02:07:01+00:00,73636,88.0,88.0
2019-09-06 16:21:01+00:00,73637,80.0,92.0
2019-09-06 18:27:01+00:00,73638,80.0,88.0
2019-09-06 11:48:01+00:00,73639,84.0,84.0
2019-09-06 01:39:01+00:00,73640,84.0,84.0
2019-09-06 15:46:01+00:00,73641,88.0,92.0
2019-09-05 23:54:01+00:00,73642,88.0,80.0
2019-09-06 19:58:01+00:00,73643,76.0,84.0
2019-09-06 15:25:01+00:00,73644,80.0,84.0
2019-09-06 06:19:01+00:00,73645,80.0,88.0
2019-09-06 18:13:01+00:00,73646,68.0,88.0
2019-09-06 17:31:01+00:00,73647,80.0,96.0
2019-09-06 16:35:01+00:00,73648,80.0,88.0
2019-09-06 23:00:01+00:00,73649,80.0,84.0
2019-09-06 10:38:01+00:00,73650,76.0,92.0
2019-09-06 13:54:01+00:00,73651,80.0,92.0
2019-09-06 05:44:01+00:00,73652,52.0,80.0
2019-09-06 10:31:01+00:00,73653,64.0,88.0
2019-09-07 04:27:01+00:00,73704,84.0,84.0
2019-09-07 16:00:01+00:00,73705,84.0,88.0
2019-09-07 13:26:01+00:00,73706,88.0,88.0
2019-09-07 19:44:01+00:00,73707,92.0,88.0
2019-09-07 07:29:01+00:00,73708,92.0,84.0
2019-09-07 10:45:01+00:00,73709,80.0,96.0
2019-09-06 23:26:01+00:00,73710,84.0,84.0
2019-09-07 02:49:01+00:00,73711,80.0,92.0
2019-09-07 19:58:01+00:00,73712,84.0,92.0
2019-09-07 19:30:01+00:00,73713,76.0,88.0
2019-09-07 16:35:01+00:00,73714,76.0,88.0
2019-09-07 10:03:01+00:00,73715,72.0,88.0
2019-09-07 01:18:01+00:00,73716,80.0,88.0
2019-09-07 14:29:01+00:00,73717,76.0,92.0
2019-09-07 22:32:01+00:00,73718,88.0,96.0
2019-09-07 14:50:01+00:00,73719,76.0,84.0
2019-09-07 03:59:01+00:00,73720,88.0,88.0
2019-09-07 00:29:01+00:00,73721,68.0,76.0
2019-09-07 07:43:01+00:00,73722,92.0,84.0
2019-09-07 06:12:01+00:00,73723,88.0,88.0
2019-09-06 23:19:01+00:00,73724,76.0,88.0
2019-09-07 13:54:01+00:00,73725,80.0,92.0
2019-09-07 13:47:01+00:00,73726,80.0,84.0
2019-09-07 14:01:01+00:00,73727,88.0,84.0
2019-09-08 23:00:01+00:00,73763,84.0,88.0
2019-09-08 21:29:01+00:00,73764,68.0,92.0
2019-09-08 04:34:01+00:00,73765,88.0,96.0
2019-09-08 17:17:01+00:00,73766,88.0,96.0
2019-09-08 12:02:01+00:00,73767,88.0,88.0
2019-09-08 02:21:01+00:00,73768,80.0,92.0
2019-09-08 08:39:01+00:00,73769,84.0,92.0
2019-09-08 05:51:01+00:00,73770,88.0,96.0
2019-09-08 14:29:01+00:00,73771,80.0,96.0
2019-09-08 03:17:01+00:00,73772,84.0,88.0
2019-09-08 12:51:01+00:00,73773,80.0,88.0
2019-09-08 15:39:01+00:00,73774,84.0,92.0
2019-09-08 04:41:01+00:00,73775,88.0,92.0
2019-09-08 19:23:01+00:00,73776,84.0,88.0
2019-09-08 06:05:01+00:00,73777,80.0,88.0
2019-09-08 12:30:01+00:00,73778,92.0,92.0
2019-09-08 01:39:01+00:00,73779,84.0,88.0
2019-09-08 14:08:01+00:00,73780,80.0,88.0
2019-09-08 02:07:01+00:00,73781,80.0,84.0
2019-09-08 02:00:01+00:00,73782,88.0,88.0
2019-09-08 04:20:01+00:00,73783,80.0,88.0
2019-09-08 08:04:01+00:00,73784,72.0,92.0
2019-09-08 14:36:01+00:00,73785,72.0,88.0
2019-09-08 18:34:01+00:00,73786,80.0,84.0
2019-09-09 17:45:01+00:00,73810,88.0,88.0
2019-09-09 04:34:01+00:00,73811,80.0,88.0
2019-09-09 20:40:01+00:00,73812,84.0,88.0
2019-09-09 02:00:01+00:00,73813,88.0,92.0
2019-09-09 12:37:01+00:00,73814,80.0,88.0
